1.925000000000000000e+03;1.000000000000000000e+00;4.270000000000000000e+03;4.244000000000000000e+03;1.380000000000000000e+02;4.932362351416349489e-01
1.284000000000000000e+03;7.600000000000000000e+01;1.928000000000000000e+03;3.447000000000000000e+03;1.060000000000000000e+02;4.927627269397132914e-01
8.000000000000000000e+00;7.990000000000000000e+02;3.814000000000000000e+03;1.589000000000000000e+03;1.350000000000000000e+02;4.921738142516862702e-01
3.150000000000000000e+02;6.040000000000000000e+02;3.988000000000000000e+03;1.466000000000000000e+03;1.380000000000000000e+02;4.915211461881011101e-01
1.300000000000000000e+01;1.951000000000000000e+03;4.068000000000000000e+03;4.266000000000000000e+03;1.350000000000000000e+02;4.909456102185334458e-01
1.817000000000000000e+03;8.600000000000000000e+01;4.298000000000000000e+03;4.272000000000000000e+03;1.540000000000000000e+02;4.903592940480631102e-01
2.203000000000000000e+03;1.300000000000000000e+01;3.952000000000000000e+03;4.244000000000000000e+03;1.360000000000000000e+02;4.897776029134011666e-01
2.507000000000000000e+03;4.302000000000000000e+03;4.238000000000000000e+03;4.224000000000000000e+03;1.540000000000000000e+02;4.891645650660801370e-01
4.900000000000000000e+01;9.070000000000000000e+02;8.450000000000000000e+02;2.845000000000000000e+03;1.530000000000000000e+02;4.885330439892313636e-01
2.248000000000000000e+03;1.180000000000000000e+02;4.071000000000000000e+03;3.993000000000000000e+03;1.340000000000000000e+02;4.879884197503278620e-01
